
02/02/18 21:19:40 INFO BBMain: *********************
02/02/18 21:19:40 INFO BBMain: berry boiler starting
02/02/18 21:19:40 INFO BBMain: *********************
02/02/18 21:19:40 INFO BBMain: dir = /home/pi/rpi-boiler
02/02/18 21:19:40 INFO BBSettings: Loaded from settings.json
02/02/18 21:19:40 INFO BBController: new (BBEvent0 0:0:0, 24:0:0, 0)
02/02/18 21:19:41 INFO BBController: Controller thread started
02/02/18 21:19:41 INFO BBMain: Threads
02/02/18 21:19:41 INFO BBMain: 		MainThread
02/02/18 21:19:41 INFO BBMain: 		BBController
02/02/18 21:19:41 INFO BBMain: 		BBLed_21
02/02/18 21:19:41 INFO BBWebUI: Starting bjoern server
02/02/18 21:19:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:21:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 21:23:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:25:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 21:27:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:29:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:31:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 21:33:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:35:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:37:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:39:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:41:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:43:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:45:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:47:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:49:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 21:51:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:53:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 21:55:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 21:57:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 21:59:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 22:01:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 22:03:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:05:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:07:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:09:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:11:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:13:41 INFO BBController: Tick 0 => 0; wifi = 40%
02/02/18 22:15:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:17:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:19:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:21:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:23:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 22:25:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:27:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:29:41 INFO BBController: Tick 0 => 0; wifi = 34%
02/02/18 22:31:41 INFO BBController: Tick 0 => 0; wifi = 38%
02/02/18 22:33:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:35:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:37:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:39:41 INFO BBController: Tick 0 => 0; wifi = 38%
02/02/18 22:41:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:43:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:45:41 INFO BBController: Tick 0 => 0; wifi = 35%
02/02/18 22:47:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:49:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:51:41 INFO BBController: Tick 0 => 0; wifi = 37%
02/02/18 22:53:41 INFO BBController: Tick 0 => 0; wifi = 37%
